term,definition
esoteric,"난해한, 소수만 아는"
esteem,"존경, 존중, 호의적 평가"
estimable,존경 받을 만한
estrange,(관계) 소원하게 하다
ethereal,"천상의, 영적인; 가볍고 섬세한"
etymology,"어원, 어원 학"
eulogy,"칭송, 찬양, 송덕문"
euphemism,완곡어법
euphoria,(강한)행복감
evanescent,사라지는
evasive,"회피하는, 솔직하지 않은"
even-handed,"공정한, 공평한"
everlasting,"영원히, 영속적인"
everyday,일상적인
evict,"퇴거시키다, 내쫓다"
evince,"분명히 나타내다, 명시하다"
evoke,(감정) 불러일으키다; (반응) 이끌어내다
exacerbate,악화시키다
exacting,정확한;엄격한
exalt,"칭송하다, 높이다; 고상하게 하다"
excise,"잘라내다, 삭제하다"
excoriate,심하게 비난하다
excruciate,"심한 고통을 주다, 괴롭히다"
exculpate,"협의를 벗겨주다, 무죄로 하다"
execrable,"혐오스러운, 형편없는"
execrate,"혐오하다, 비난하다"
exemplar,"전형, 모범"
exemption,면제
exhaust,기진맥진하게 하다
exhaustive,포괄적인; 철저한
exhort,"강요하다, 강권하다"
exodus,대 탈출
exonerate,"용서하다, 면제하다"
expedient,편의주의적인; 신속한
expedite,"촉진시키다, 추진하다, 신속히 처리하다"
expeditious,신속한
exploit,"위업, 업적; 이용하다, 착취하다"
exponent,지지자
extant,현존하는
extemporaneous,"즉흥적인, 계획 없이 이루어진"
extend,"확장하다, (범위, 정도) 넓히다"
extenuate,"(죄, 과실) 경감시키다, 가볍게 하다; 야위게 하다"
extinguish,불을 끄다
extol,극찬하다
extraneous,관련 없는
extricate,"(위험, 곤란에서) 벗어나게 하다, 구해내다, 빼내주다"
extrinsic,"비본질적인, 외래의, 외부의"
exuberant,"열의에 찬, 열광적인, 원기 왕성한, 활력적인"
exude,"스며 나오게 하다, 발산시키다"
exultant,뛸 뜻이 기뻐하는
fabricate,"만들어내다, 꾸며내다; 제조하다, 조립하다"
facet,"사물의 한 면상, 특성; (보석 등) 마면, 평면"
facetious,"익살스런, 웃기는; 가벼운"
facile,"피상적인; 손쉬운, 용이한"
facilitate,용이하게 하다
factious,"당파싸움을 좋아하는, 당파의"
fail-safe,(고장에 대비하여) 안전장치를 갖춘
fallacy,"잘못된 생각, 그릇된 논리, 궤변"
falter,"주저하다, 비틀거리다"
fanatic,열성적인
fantastic,비현실적인
farcical,우스꽝스런
fascinate,매료시키다
fast,"확고한, 고정된; 금식하다; 금식"
fastidious,"꼼꼼한, 까다로운"
fastness,"요새, 안전한 곳; 고정; 신속"
fathom,헤아리다; 수심을 재다
fatigue,극도의 피로
fatuous,"어리석은, 바보 같은"
faultfinding,트집잡기
favor,"편애하다, 지지하다, 유리하다"
fawn,아부하다
fazed,당황한
fealty,(영주에 대한) 충성
feasible,실행 가능한
featureless,뚜렷한 특징이 없는
feckless,"무기력한, 무책임한"
fecund,"비옥한, 생산력이 있는, 풍성한"
feisty,"적극적인, 원기 왕성한"
feral,"야생의, 야생으로 돌아간"
ferrous,"철의, 철을 함유한"
fervor,"열성, 열렬"
fetter,"족쇄를 채우다, 구속하다"
fiasco,대 실패
fickle,변덕스런
fidelity,"충성, 정조"
figurine,작은 조각상
filch,훔치다
filibuster,의사진행방해 (긴 연설 등)
filly,어린 암말
filmstrip,영사슬라이드
filthy,"매우 더러운, 추잡한, 난잡한, 비열한"
finale,"공연의 마지막, 대미"
finch,되새류과의 새
fingerprint,지문
fir,전나무
firefly,반딧불이
firm,"(태도, 마음) 확고한, 굳은"
fiscal,"재정의, 재무의, 회계의"
fissure,"(땅, 바위) 균열, 불화"
fit,적당한
fitful,"불규칙적인, 발작적인"
fixed,"고정된, 견고한, 확고한"
flabby,"살이 축 늘어진, 허약한"
flagging,"(힘, 권한, 결심) 약해지는, 축 늘어지는"
flagrant,"극악한, 악명 높은"
flamboyant,"눈부신, 화려한, 현란한"
flannel,"플란넬, 무명, 면포"
flatter,"추켜세우다, 알랑거리다, (찬사 등으로) 기쁘게 하다"
flawed,결점이 있는
fledgling,"풋내기, 애송이"
flee,"도망가다; 빠르게 지나가다, 사라지다"
fleeting,"휙 지나가는, 순식간의, 덧없는"
flicker,깜빡 거리다
flimsy,"부서기기 쉬운, 무른, 약한, 설득력이 없는"
flippant,"경박한, 성의 없는, 무례한"
flit,"경쾌하게 움직이다, 빨리 지나가다"
float,부유하다
flock,"떼로 모이다, 움직이다."
floppy,"(옷이) 펄럭이는, 늘어진, 느슨한"
flounder,"간신히 나아가다, 버둥거리다, 몸부림치다"
flourish,번성하다
flout,"경멸하다, 비웃다, 멸시하다"
fluctuate,변동하다
fluvial,강의
flux,"흐름, 끝없는 변동"
focus,중심으로 모이다
foe,"적, 원수"
foil,"방해하다, 막다"
folly,"어리석음, 우둔"
foment,"선동하다, 자극하다"
foot-dragging,"지체, 더딤, 주저"
footloose,"결부된 것이 없는, 마음대로 할 수 있는, 구속되지 않은"
forage,(식량) 찾아 헤매다
forbearance,"인내, 자제"
forceful,강력한
foreswear,"포기하다, 위증하다"
forlorn,"버림받은, 절망적인"
formidable,"겁먹게 하는, 위협적인, 경외감을 갖게 하는"
formulaic,"도식적인, 공식에만 따른"
forte,(칼날 중간과 칼자루 사이) 강한부분
forthcoming,"다가오는, 임박한, 솔직한"
fortuitous,우연한
foul,"불쾌하고 역겨운, (날씨) 사나운, 나쁜"
founder,침몰하다
fractious,"쉽게 해내는, 다루기 힘든"
fragile,"약한, 부서지기 쉬운"
fragrant,향기로운
frail,"약한, 깨지기 쉬운"
frantic,"광란의, 정신 없는, 미쳐 날뛰는"
fraternize,"사귀다, 친해지다, 형제처럼 지내다"
fraught,"가득한, (정신) 괴로워하는"
freckle,"주근깨, 거미"
freeze,동결하다
frenetic,"광란의, 지나치게 열광적인"
frenzy,"광란, 열광"
frequent,자주 들르다
fretful,"안달하는, 초조해하는, 화내는, 언짢아하는"
fretwork,실톱세공
friable,쉽게 부서지는
friction,마찰
frighten,"겁나게 하다, 놀라게 하다"
frill,"허식, 장식"
frivolous,"(태도가) 가벼운, 하찮은"
frothy,"거품같은; (태도, 내용) 가벼운, 경박한"
froward,"다루기 힘든, 완고한"
frugal,"검소한, 절약하는"
fruition,"성취, 실현, 달성; 성취의 순간"
full-fledged,"완전한, 성숙한"
fulmination,심한 비난
fumble,"서툴게 다루다, 더듬어 찾다, 말을 더듬거리다"
fur,"털가죽, 모피"
furor,분노
furrow,"홈을 파다, 골, 밭고랑"
furtive,은밀한
fussy,지나치게 꼼꼼한
fustian,과장되고 허풍 떠는 (말이나 글)
futility,"헛수고, 무익함"
gabble,"왜곡하다,혼동하다"
gaffe,"(사교상)실수, 결례"
gainsay,"반박하다,부인하다,반대하다"
gait,걸음걸이
galaxy,"은하,성운"
gall,화나게 하다
gallant,"용감한,정중한"
galvanize,"전기자극을 주다,자극하다"
gambol,뛰놀다
gargantuan,거대한
gargoyle,"사람,동물의 형상을 한 괴물의 조각"
garish,지나치게 화려한
garnish,장식하다
garrulous,지나치게 수다스러운
gauche,"서투른,세련되지 않은,솜씨 없는"
gaudy,"(옷,장식)지나치게 화려한, 야한"
gaunt,"수척해진, 쇠약해진"
gavel,"(의장,판사,경매인의)작은 망치,의사봉"
generator,발전기
generic,일반적인
genial,"친절하고 쾌활한, 상냥한"
germane,"밀접한 관계가 있는, 적절한"
gibberish,"이해할 수 없는 헛소리, 너무 전문적이어서 난해한 말, 쓸데없이 허황되고 모호한 말"
gibe,조롱(하다)
giddy,"경솔한, 진지하지 못한, 현기증 나는"
glacial,"매우 추운, 매우 느린"
glacier,빙하
glance,"흘긋 보기, 흘긋 보다"
glaring,"눈부시게 빛나는; (색) 지나치게 야한; 눈에 띄는, 뻔한"
glib,"(깊이 없이)말만 유창한, 입심 좋은"
glide,미끄러지듯이 움직이다
glut,"과도,과다"
glutton,"식신, 식탐이 강한 사람"
go-getter,"공격적인 사람, 진취적인 사람"
gossamer,"매우 얇은, 섬세한"
gourmand,"미식가, 대식가"
graft,"접목시키다, 접붙이다"
grandiloquent,"과장된, 허풍떠는"
grandiose,"(겉모습, 외양) 웅장한, 장엄한; (계획) 의욕이 지나친"
grandstand,"(관객,미디어로부터)주목 받으려 하다,(관객을 의식하여)화려한 플레이를 하다"
grapevine,"유언비어,낭설"
grassy,"풀이 덮인, 풀이 무성한"
gratify,만족시키다
grating,삐걱 거리는;(소리가)신경에 거슬리는
gratuitous,"무료의, 필요 없는, 근거 없는"
grave,"엄숙한, 진지한"
gravelly,"자갈 같은, 자갈소리가나는, 귀에 거슬리는"
greed,탐욕
green,"경험이 없는, 미숙한, 초목이 우거진"
gregarious,사교적인
grievous,"심각한,중대한,슬픈"
grill,"엄중히 심문하다, 취조하다"
grim,"엄격한,단호한,잔인한,무서운,섬뜩한,무시무시한"
grimace,"찡그림,찡그리다(병,고통 등으로)"
gripe,(사소한 일에) 불평하다
gritty,"의지가 굳은, 대담한;모래먼지 투성이의"
grouch,"불평꾼,짜증 잘내는 사람"
groundless,근거 없는
grove,"작은 숲, 과수원"
groveling,"비굴한,아첨하는;기는"
growl,으르렁거리다
grudge,원한
grueling,몹시 힘든
gruesome,"소름 끼치는, 오싹하는"
gruff,"퉁명스런, (목소리)거친, 쉰"
grumble,투덜거리다
guffaw,(천한)가가대소;큰소리로(깔깔)웃다
guile,"속임수, 꾀,술책"
gullible,쉽게 속는
gully,"(작은)계곡,협곡"
gust,"(갑자기)획 부는 바람, 돌풍"
hacker,아마추어 스포츠인
hackneyed,진부한
hairbreadth,털끝만한 간격
halcyon,"평온한,평화로운"
hale,튼튼한
halfhearted,"열성이 없는, 내키지 않는"
hallow,"거룩히 여기다, 신성하게 하다"
hallucination,환각
halting,(말)더듬거리는;막히는
ham-handed,"서투른,실수하는"
hamper,"막다,방해하다"
hamstring,"무력화하다,좌절시키다,다리를 절게하다"
hangdog,"처량한, 부끄러워하는"
hankering,"갈망하는, 갈망"
haphazard,체계적이지 않은
hapless,운 없는
happy,행복한
harangue,"장광설;비난,질책;장광설을 늘어놓다;비난하다,질책하다"
harass,괴롭히다
harbinger,"예언자,전조"
harbor,"피난처를 제공하다, 숨겨주다"
hard-boiled,"현실적인, 실제적인, 무정한, 감상적이지 않은, 비정한"
hardy,"튼튼한, 억센, 대담한, 용감한"
harebrained,"경솔한, 무모한"
harmony,"화음, 조화"
harrow,"괴롭히다, 못살게 굴다,망치다,침해하다"
harry,"괴롭히다, 못살게 굴다"
haste,"서두름, 신속함"
hasten,서두르다
haunt,자주 가는 장소
haunteur(haughtiness),"오만함, 거만함"
haven,항구; 피난처
havoc,"대파괴, 황폐, 대혼란"
headlong,"무모한, 성급한"
heart-rending,"마음을 찢어지게 하는, 매우 슬픈"
hearten,"용기를 주다, 확신을 주다"
heartsick,상심한
heated,"화난, 격렬한; 열렬한"
heckle,괴롭히다
hedgerow,"생울타리, 담장"
hedonism,쾌락주의
heed,주의를 기울이다
heinous,(행동) 극악한
helter-skelter,허둥지둥
hem,둘러대다; 제한하다
heresy,이단
heretic,"(일반적인 믿음)따르지 않는 사람, 이단자"
hermitage,은둔장소; 세상과 분리되어 살 수 있는 곳
heroic,"영웅적인, 용감한"
heterodox,(일반적인 믿음)따르지 않는
heyday,전성기
hidebound,"완고한, 몹시 보수적인"
hieroglyph,(이집트)상형문자
high-strung,"신경이 날카로운, 화 잘 내는"
hillock,작은 언덕
hinder,방해하다
hirsute,털이 많은
hiss,쉬' 소리를 내다;비난하다
histrionic,"배우의, 연기의; 지나치게 감정적인"
hoard,"보관하다, 저장하다;(몰래) 저장하다"
hoarse,"(목소리가)거친, 쉰 소리가 나는"
hoary,"백발의, 나이든; 오래된, 진부한"
hoax,짓궂은 속임수; 속이다
hobble,절뚝거리다
hodgepodge,뒤죽박죽
hoist,들어올리다
hollow,"텅 빈, 내용 없는"
homage,존경
homily,설교;지루한 도덕적 훈계
homogeneous,"동종의, 균질의, 비슷한"
hortative,"(조언, 연설 등이)격려하는; 충고의"
hubris,"지나친 자신감, 오만함"
hue,"색깔, 색조"
hull,겉껍질
humble,"겸손한, 겸허한"
humility,겸손함
husband,"아껴 쓰다, 절약하다"
husk,"껍질, 중요하지 않은 부분"
husky,(소리가)거친; 건장한
hut,오두막; 임시로 지은 숙소
hybrid,잡종의
hydrogen,수소
hygiene,위생
hyperbole,"과장된 말, 과장법"
hypnotic,"최면에 걸리게 하는, 잠이 오게 하는"
iconoclast,성상파괴자; 인습타파론자
idiosyncrasy,특유의 성질
ignite,"불 붙이다, 자극하다"
ignominy,"불명예, 치욕, 굴욕"
ignorance,"무지, 무식"
illegible,"읽을 수 없는, 해독 불가한"
illicit,불법적인
illiteracy,"무학, 문맹, 무교양"
illustrate,"(그림, 차트, 예를 이용해서) 명확히 설명하다"
imbibe,"(술, 물) 마시다, 흡수하다; (지식, 정보) 학습하다"
imbue,(생각)주입시키다; 스며들게 하다; (색깔)물들이다
immaterial,"중요하지 않는, 관련 없는; 영적인"
immeasurable,"측정할 수 없는, 무한한"
immediate,"(시간, 장소, 관계)가까운, 즉각적인"
immemorial,"옛날의, 태곳적의"
immerse,"푹 담그다; 열중, 몰두시키다"
imminent,임박한
immoderate,"절도를 잃은, 과도한, 극단적인"
immortalize,"불멸로 만들다, 불후의 명성을 주다"
immune,면역의; 면제된
immutable,불변의
impacted,"(쇄기처럼)박힌, 꽉 끼인"
impair,"약화시키다, 손상시키다"
impartial,공정한
impassionate,열정적인
impassive,"무정한, 비정한, 무표정한"
impeachable,"탄핵을 받을 만한, 비난 받을 만한"
impeccable,"결함 없는, 완벽한"
impecunious,무일푼의
impede,"방해하다, 훼방 놓다"
impel,"강요하다, 강제하다"
impenetrable,"통과할 수 없는, 스며들 수 없는, 이해할 수 없는"
impenitent,뉘우치지 않는
imperceptible,"지각/감지할 수 없는, 미세한, 경미한"
imperious,"오만한, 고압적인"
impermeable,불침투성의
imperturbability,"침착, 차분, 평정"
impervious,"통과할 수 없는; 영향을 받지 않는, 해를 입지 않는"
impetuous,"충동적인, 성급한"
implant,"심다, 이식하다, 박다, 주입하다"
implement,이행하다
implicit,"암시된, 암묵적인"
imply,암시하다
impolitic,"지각 없는, 무분별한, 현명치 못한"
importune,성가시게 졸라대다
impracticable,실행 불가능한
impressionable,(비판력 부족으로) 쉽게 영향을 받는; 감수성이 예민한
impromptu,즉흥적인; 즉흥연주
improvident,미래를 대비하지 않는 낭비하는
imprudent,신중하지 못한 경솔한 무분별한
impudent,무례한 불손한 건방진
impugn,"의심하다,이의를 제기하다,비난하다,공격하다"
inalienable,양도할 수 없는
inane,무의미한
inanimate,살아있지 않은 생명이 없는
inattentive,무관심한 부주의한
inaugurate,시작하다 취임시키다
inauspicious,불길한 불리한 불행한
incantation,주술
incarcerate,투옥시키다. 감금시키다
incendiary,방화범; 선동가
incense,몹시 화나게 하다
inception,시작 설립
incessant,끊임없이 계속 이어지는
inch,천천히 움직이다
incipient,시작단계의
incite,자극하다. 선동하다
inclement,혹독한 궂은
incogitant,사려 없는 분별없는 경솔한
incognizant,모르는 무지한
incoherent,(말 글)조리가 없는
incombustible,불연성의
incomprehensible,이해할 수 없는
inconclusive,결정적이지 않은
inconsiderable,(양)적은(크기)작은
inconsonant,일치하지 않는 조화되지 않는
inconspicuous,명확히 보이지 않는
inconstant,변하기 쉬운 변덕스러운 일정하지 않은
incontestable,논의의 여지가 없는 명백한
incontrovertible,"(논쟁, 의문) 여지가 없는"
incorporeal,"비물질적인, 비육체적인"
incorrigible,고집불통의 구제불능의
incredible,믿을 수 없는
incredulous,잘 안 믿는
incriminate,죄를 씌우다. 고소하다
inculpate,혐의를 씌우다. 죄를 씌우다
incursion,침입
indecipherable,"판독이 불가능한, 이해할 수 없는"
indecorous,예의 없는 무례한
indefatigable,지치지 않는
indefeasible,무효화 할 수 없는
indelible,"지울 수 없는, 제거 할 수 없는"
indemonstrable,증명할 수 없는
indict,기소하다
indigent,"궁핍한, (생필품) 결핍된"
indiscrimination,"무분별한 행동, 무차별"
indispensable,필수불가결의
indomitable,"불굴의, 꿋꿋한 불복하지 않는"
indulge,탐닉하다. 관대히 대하다
inedible,먹을 수 없는
ineffable,말로 표현할 수 없는 형언할 수 없는
ineffaceable,지워질 수 없는 잊을 수 없는
ineluctable,피할 수 없는
inept,서투른
inequity,"불공정, 불공평"
inert,움직이지 않는 활력 없는
inevitable,피할 수 없는 불가피한
inexorable,"설득할 수 없는, 막을 수 없는"
inexpungible,지울 수 없는
infecund,"생산성이 없는, 아이를 낳을 수 없는"
infiltrate,잠입하다
infinitesimal,"극소의 , 매우 작은"
infirm,허약한 (마음)불확실한
infirmary,양호실
inflate,부풀게 하다 확장시키다 팽창시키다
inflexible,마음을 바꾸지 않는 융통성이 없는
informality,"비공식성, 격식을 차리지 않음"
infraction,(법률 약속) 위반
infrangible,부서지지 않는 위반해서는 안되는
infuriate,몹시 화나게 하다 분노케 하다
infuse,가득 채우다 주입하다
ingenious,독창적인
ingenuous,순진한 솔직한
ingrained,(기질 습관) 뿌리깊은 깊이 박힌
ingratiate,환심을 사기 위해서 비위를 맞추다
inherent,"본질적인, 타고난"
inhibit,"(행동, 진행)막다. 제한하다"
inimical,해로운 적대적인
iniquity,"부도덕함, 사악함, 극악함"
injurious,해로운 비방하는 모략하는
inkling,어렴풋이 알고 있음
innate,타고난 자연스런
innocuous,무해한
innovation,혁신
insalubrious,몸에 해로운
insalvageable,구해낼 수 없는
insatiable,"(식욕, 욕망)만족시킬 수 없는"
inscrutable,불가사의한 난해한
insensitive,(타인에 대해)민감하지 않은 무신경한
insentient,무감각한 비정한 생명 없는
insipid,"맛없는; 재미없는, 생기없는, 지루한"
insolent,무례한 불손한 건방진
insouciant,태평한 근심이 없는
instable,불안정한
instill,(점차적으로)주입하다
instrumentalist,악기 연주자
insubstantial,허약한 튼튼하지 않은
insular,섬의 고립된 편협한
insurgent,반란을 일으킨 사람
intangible,만질 수 없는 비물질적인
integral,불가결한 필수의
intemperate,"무절제한, 방탕한"
intensify,심화시키다; 강화시키다
intentionality,의도성
inter,매장하다
interim,"중간의, 임시의"
interloper,"남의 일에 참견하는 사람; (남의 영역, 상황, 활동에) 끼어드는 사람"
interminable,끝없는
intermittent,"때때로, 가끔 발생하는"
interpose,삽입시키다; 양자 사이에 개입하다
intimate,"넌지시 알려주다, 암시하다"
intimidate,위협하다
intractable,"유순하지 않는, 다루기 힘든, 고집 센"
intransient,"금방 사라지지 않는, 영구적인"
intransigent,"비타협적인, 완고한"
intrepid,"겁 없는, 대담한"
intricate,"복잡한, 얽힌"
intrinsic,본질적인
invective,"욕설, 모욕적인 말"
inventory,"재고목록, 품목 일람, 재고조사"
investigate,조사하다
inveterate,만성적인
invigorate,"기운나게하다, 격려하다"
invincible,"이길 수 없는, 무적의"
inviolate,"신성한, 더럽혀지지 않은"
irascible,화 잘 내는
ire,"화, 분노; 화나게 하다"
iridescent,무지개 빛깔의
irk,짜증나게 하다; 화나게 하다
irradiance,복사 조도; 발광
irrational,"이성이 없는, 불합리의, 무리한"
irrefutable,논박할 수 없는
irrelevant,관련 없는
irreproachable,"비난의 여지가 없는, 흠잡을 데 없는"
irresolution,"주저함, 마음의 불확실"
irreverent,"불손한, 불경스런"
irrevocable,"돌이킬 수 없는, 취소할 수 없는"
isomorphous,동형의
issue,"나오다, 흘러나오다; 방출하다, 지급하다; 발표하다"
isthmus,지협; 두 개의 육지를 연결하는 좁고 긴 땅
jaded,"지친, 지긋지긋한, 싫증난"
jaundice,편파적으로 대하다
jaunty,"경쾌한, 활발한"
jejune,"순진한, 피상적인; 재미없는"
jest,"농담, 익살, 희롱; 놀리다, 비웃다"
jittery,"신경질적인, 초조해하는"
jocose,"익살맞은, 웃기는"
jocular,"익살맞은, 떠드는, 까부는"
jocund,쾌활한
jolt,"(갑자기, 난폭하게) 흔들다, 마구 흔들다"
journal,"일기, 일지; 신문, 잡지"
jubilant,"환희에 가득 찬, 매우 기뻐하는"
judicious,현명한
juggernaut,"엄청난 파괴력, 불가항력"
keen,"열렬한, 예리한, 날카로운"
kindred,"동족의, 관련된"
knead,반죽하다
knoll,작은 언덕
knotty,매듭으로 가득한; 풀기 어려운
kudos,"영광, 명성; 찬양"
labyrinth,미로
lacerate,"찢다; 깊은 상처를 주다, 괴롭히다"
lachrymose,눈물이 가득한; 눈물 나게 하는
laconic,"간결한, 과묵한, 무뚝뚝한"
ladle,국자
lag,"꾸물거리다, 처지다"
laggard,"꾸물거리는, 처지는; 게으름뱅이"
lambaste,심하게 비난하다
lament,"한탄하다, 애통해하다"
languid,"늘어진, 나른한, 기력 없는"
languish,"기력을 잃다, 쇠약해지다"
languor,"쇠약; 무기력, 권태; 무관심"
lapse,"일시적인 쇠퇴, 일탈; 잘못, 과실; (시간의) 경과, 기간"
larder,식료품 저장실
largesse,후함
larval,"유충의, 유충단계에 있는; 미성숙한"
lassitude,무기력
latent,잠재성의
latitude,"(행동, 사항, 견해) 자유, 허용 정도"
laud,"칭찬하다, 찬양하다"
laudable,"칭찬받을 만한, 훌륭한"
lavish,"사치스런, 아낌없는"
lax,"축 늘어진; 엄하지 않은, 관대한, 부주의한"
layover,(여행) 일시 중단; 도중하차
layperson,문외한
laze,"빈둥거리다, 게으름 피우다"
leaden,"둔한, 느릿한; 활기 없는"
lean,"마른; 기울어지다, 기대다"
leaning,"기호, 편애"
learned,유식한
leaven,"발효시키다, 부풀어 오르게 하다"
legend,"(지도, 도표 등의) 범례, 기호의 설명 표"
legendary,"전설적인, 매우 유명한"
legerdemain,"요술, 마술; 날랜 손재주; 속임수"
legible,읽을 수/이해할 수 있는
lessen,"줄이다, 줄어들다"
lethargy,무기력
lettered,"박식한, 교육받은"
leviathan,거대한 바다동물; 거대한 것
levity,"경솔함, 변덕, 경박함"
libel,문서에 의한 명예훼손; (문서로) 명예를 훼손하다
liberality,"후함, 관대함"
liberate,자유롭게 풀어주다
libertine,난봉꾼
license,"허락, 인가하다"
licentious,"음란한, 문란한"
lighthearted,"걱정이 없는, 쾌활한, 명랑한"
like-minded,취향이나 의견이 비슷한
liken,"비유하다, 비견하다"
limelight,주목을 받게 하다
limerick,5행 희시
limp,절뚝거리다
limpid,"(액체)깨끗한, 맑은"
lionize,"명사로 대접해주다, 치켜세우다"
lissome,"유연한, 우아한"
lithe,"유연한, 우아한,"
loaf,빈둥거리다
loathe,혐오하다
loathsome,혐오스런
lode,광맥; 풍부한 원천
loft,"위로 차 올리다, 위로 올라가다"
lofty,숭고한
log,여행의 기록;운항일지
longevity,"장수, 오래 지속됨"
loquacious,(매우)수다스러운
lubricate,"기름칠하다, 매끄럽게 하다, 원활하게 하다"
lucid,명백하여 이해하기 쉬운
lug,(짐)힘들여 끌다
lugubrious,"침울한, 슬픈"
lull,"일시적 잠잠함, 잠시 중단, 소강상태;달래다, 어르다, 재우다"
luminary,"선각자, 권위자, 유명인"
lurid,"무시무시한;(색깔)매우 밝은, 선정적인"
lurk,"잠복하다, 숨어서 기다리다."
luster,광택
luxuriant,"무성한, 비옥한, 풍성한"
luxurious,사치스런;호사스런
macabre,"으스스한, 소름 끼치는"
maculate,"반점이 있는, 더러워진;반점을 찍다, 더럽히다"
madcap,"무모한, 황급한, 미친"
magnanimity,"도량, 관대함"
magniloquent,호언 장담하는
majestic,"위엄한, 당당한, 장엄한"
maladroit,"솜씨 없는, 서투른"
malady,"질병, 병폐"
malaise,"초조, 불안, 불편, 불쾌"
malevolent,"악의적인, 사악한"
malicious,"악의(적의)있는, 심술궂은"
malinger,"꾀병을 부리다, (의무)회피하다"
malleable,(금속)변형이 잘 되는
malodorous,악취가 나는
maniac,광적으로 열중하는 사람
manifest,"뚜렷한, 명백한,"
manumit,해방(석방)하다
mar,"망치다, 손상하다"
marbled,대리석 무늬의
marginal,"사소한, 중요하지 않은"
marshy,질퍽한;습지의
marsupial,유대목
martial,호전적인
martinet,"엄격한 규율가, 엄격한 교관"
marvel,놀라운 것
mask,"가면;숨기다, 가리다"
masterful,"명인 솜씨의, 대가의, 훌륭한"
masticate,씹다
matchless,"적수가 없는, 대단한"
matter-of-fact,"현실적인, 실질적인,"
maudlin,"지나치게 감상적인, 취하면 우는"
maven,전문가
maverick,독불장군
mawkish,매우 감상적인
meager,"부족한, 빈약한"
mean,"질이 떨어지는, 가치가 없는, 양이 적은, 시시한"
meander,"정처 없이 거닐다, (강)굽이굽이 흐르다"
measly,(양)아주 조금인
measure,악보한마디;측정하다
measured,정확히 측정한;신중한
meddle,참견하다
meek,"온순한, 유순한"
meet,적절한
melancholy,우울한
meld,(골고루) 잘 섞다
mellifluous,"(소리, 말)감미로운"
melodious,듣기 좋은
menace,위협하는 사람;위협하다
mend,"고치다, 수선하다"
mendacious,거짓말하는
mendicant,구걸하는;거지
menial,"하인의, 비천한"
mensurable,"측정 가능한,"
mentor,조언자
mercurial,변덕스런
metamorphose,변형하다
metaphoric(al),"은유의, 은유적인"
meteoric,유성같이 빠른
meticulous,"지나치게 꼼꼼한, 주의 깊은, 정확한"
mettle,"용기, 원기, 기개"
minatory,위협하는 사람;위협하다
mind,꺼리다;복종하다
mindful,"인식하는, 알고 있는"
mine,탄광;채굴하다
mineshaft,탄광의 갱도
mint,"대량, 다량; 화폐주조 소, 조폐국"
minute,"(요리)즉석으로 만든;미세한, 상세한"
minutia,작고 사소한 세부사항
mire,"습지, 늪;곤경;(어려운 상황에)얽히게 하다"
mirth,"환희, 유쾌함, 웃음"
miscellaneous,갖가지 잡다한;잡동사니의
misconstruction,곡해;오해
miscreant,범법자
misdemean,나쁜 행동을 하다
misfortune,불운;불행한 일
mishap,불행한 일
mislead,"속이다, 오도하다"
mite,"작은 동물, 어린이; 작지만 정성어린 기부금"
mitigate,완화시키다
mnemonic,기억을 돕는 장치
moderate,"적절하게 하다, 완화시키다"
modicum,소량
mold,모양을 바꾸다;변형시키다
mollify,달래다
moment,중요성
monarch,군주
monopolize,독점하다
morbid,"병의,병적인"
mordant,신랄한
moribund,다 죽어가는;기력 없는
moroseness,시무룩하고 언짢은 상태
mortar,막자 사발
motley,"잡동사니의,잡색의"
mottle,"점,얼룩을 묻히다"
muffle,소음(消音)시키다
mulish,고집스런
mundane,"평범한,흔한;세속적인"
munificent,돈을 후하게 쓰는
murky,"어둑어둑한, 안개가자욱한, 모호한, 애매한"
musician,음악가;악기연주자
mutability,변화성
mutate,"변화하다,변화시키다"
mute,소리 없는
myopia,근시안
myriad,"수많은,다수"
nadir,"천저,밑바닥,절망상태"
naive,"순진한,순박한,경험이 없는"
nascent,지금 막 생겨난
natty,말끔한
nebulous,"흐린,구름 같은,뚜렷하지 않은"
nefarious,"사악한,범법의"
negligent,태만한;적절한 주의를 기울이지 못하는
negligible,하찮은
negotiate,협상하다
nemesis,복수의 화신;강적
nepotism,친족주의
nervy,"건방진,뻔뻔스런"
nether,"아래의,밑의"
nettle,"화나게 하다,안절부절못하게 하다;쐐기풀"
nibble,"조금씩 물어뜯다,잠식하다"
nice,"철저한,꼼꼼한,정확한"
nimble,"민첩한,영리한"
nitpick,트집잡다
nitrogen,질소
nocturnal,"밤의,야행성의"
noisome,"불쾌한,해로운,악취가 나는"
nonchalant,"태연한,무관심한"
noncommittal,"분명한 의견을 표명하지 않은,애매한,확실하지 않은"
nonconformity,"(표준,전통,규칙,법률 등)따르지 않음,불순응,불일치"
nondescript,뚜렷한 특징이 없는
nonentity,있으나 마나한 인간(사물)
nonplus,"혼란스럽게 하다,놀라게 하다"
notoriety,(악명으로)유명함
noxious,"해로운,불쾌한"
nuance,"미묘한 차이,음영"
nugatory,"증요하지 않은,하찮은"
nuisance,"귀찮은 것,성가신 것,폐"
nullify,무효화하다
numb,마비된; 마비시키다
numberless,셀 수 없이 많은
nurture,"양육하다,돌보다"
oaf,"바보,멍청이,기형아"
obdurate,고집 센
