term,definition
asunder,분리된;나누어진
asylum,"(정치범,난민,정신병자 등의)보호시설, 피난처"
atrocious,"극악무도한,아주 나쁜,매우 잔인한"
atrophy,"신체 구성조직의 퇴화;약화,감소"
attentive,"주의 깊은;상냥한,친절한"
attenuate,"가늘게 하다,약화시키다"
attest,"증명하다,증언하다,입증하다"
audacious,"대담한,호기로운,무모한"
audit,"(회계,장부)감사/검사하다"
augment,증가/증대시키다;증가하다
auspicious,"길조의,유리한"
autonomy,"자율성,자치권,자립"
avarice,탐욕
aversion,혐오감
aviary,(큰)새장
avid,"몹시 탐내는;열심인,열광적인,열정적인"
awning,차양
awry,휘어진
babble,재잘거리다;옹알거리다
badger,계속 괴롭히다;계속 졸라대다
badinage,가벼운 농담
baffle,"당황하게 하다,어리둥절하게 하다"
bale,"재앙;불운,고통,불행"
balk,"주저하다,갑자기 서서 나아가지 않다;방해하다,막다,좌절시키다"
balky,"고집 센,말을 안 듣는"
ballad,"담시,노래"
ballast,배의 무게중심
balm,"향유,(피부,마음)진정제"
banal,진부한
bane,고통의 근원;맹독
banister,(계단 옆)난간
barb,신랄한 비난
barefaced,뻔뻔스런;숨김없는
bark,나무껍질
baroque,"지나치게 장식적은,화려한"
barracks,"군인들의 막사,병영,숙사"
barrel,"쏜살같이 움직이다,질주하다"
barren,"열매 맺지 않는,수확이 없는"
base,"(도덕적으로)상스러운,천한,비열한"
batch,"(과자) 한번 구워내는 양, 한다발, 한무리"
bauble,겉만 번지르르한 싸구려; 시시한 것
bawdy,"외설스런, 음탕한"
beacon,"등대, 봉홧불"
beatific,"축복을 주는, 행복을 주는"
bedecked,"치장된, 장식된"
bedlam,"소란스러운 곳; 대소동, 혼란"
befitting,"안성맞춤의, 적합한"
befriend,친구가 되다
befuddle,혼란스럽게 하다
beguile,"매혹시키다, 속이다, 기만하다"
beleaguer,괴롭히다; 포위 공격하다
belie,"잘못 드러내다, 모순되다"
bellicose,"호전적인, 싸우기 좋아하는"
belligerent,"호전적인, 전쟁 중에 있는"
bellwether,"지도자, 선도자"
benediction,"축복, 축도"
beneficence,"선행, 자비"
benevolent,"자비심 많은, 자선을 행하는"
benignant,"친절한, 다정한, 유익한"
benumbed,무감해진
berate,호되게 꾸짖다
betray,"배신하다, 배반하다; 은연중에 드러내다"
better,향상시키다; 더 나은
bevy,"무리, 떼"
bewitch,"마술 걸다, 매혹시키다"
bibliography,"도서목록, 문헌 목록"
bibliophile,애서가
bifurcate,"두 갈래로 가르다, 분기하다"
bigot,"마음이 편협한 사람; 나와 생각, 종교, 사상 등이 다른 사람을 배척하는 사람"
bilious,"극도로 불쾌한, 성미 까다로운"
bilk,"(돈)사취하다, 속이다; 피하다; 좌절시키다, 막다"
biting,신랄한; 통렬한
blandish,"아부하는 말로 설득하다, 꼬드기다"
blanket,"담요로 덮다, 전면을 덮다"
blatant,"뻔한, 몹시 떠들썩한; 야단 법석의"
blazon,"과시하다, 꾸미다"
blemish,흠; 도덕적 오점
blight,"고사시키다, 해를 입히다"
bliss,"더 없는 기쁨, 행복"
blithe,"경솔한, 부주의한;명랑한, 쾌활한"
blueprint,청사진
blunt,"직설적인, 무뚝뚝한, 퉁명스런; (칼이나 연필)뭉퉁하고 무딘; 날카롭지 않게 만들다"
blurb,"짧은 광고, 선전문"
blurt,"(말을)불쑥 내뱉다, 무심코 말하다"
blustering,호통치는
boast,자랑하다
boggle,"깜짝 놀라게 하다, 압도하다;깜짝 놀라다, 움찔하다"
bogus,가짜의
bolster,"지탱하다, 지지하다, 강화하다"
bombastic,허풍 떠는
boor,무례한 사람
bootless,"소용없는, 쓸모 없는"
brackish,짭짤한; 맛이 없는
brake,제동장치
brassy,"뻔뻔스런, 철면피의"
brazen,"파렴치한, 철면피의"
breezeway,(집과 차고 등을 연결하는) 지붕과 기둥만 있는 통로
brevity,간결함
bribe,"뇌물 주다, 매수하다"
bristle,"분연하게 성내다, 성나서 털이 쭈볏 서다"
broaden,"확장시키다, 확장되다"
bromide,진부하고 상투적인 말
brute,"짐승 같은 사람, 망나니"
bucolic,전원적인
budge,살짝 움직이다; 의견을 바꾸다
bugle,군대 나팔
bulge,"돌출, 불룩함"
bully,불량배; 약한 자를 괴롭히는 사람
bumptious,"거만한, 오만한, 지나치게 자기주장이 강한"
bungalow,방갈로
bungle,"어설픈짓하다, 실수하다"
buoy,"띄우다, 뜨다; 받치다; 기운을 북돋우다"
buoyant,"부력이 있는, 기운찬, 명랑한"
burgeon,급성장하다
burlesque,풍자극
burly,"건강한, 튼튼한"
burnish,닦아서 광내다
bustle,"활기, 붐빔, 소란스러움"
buttress,부벽; 지탱하다
byline,(기사)필자란
cabal,"정치적 음모단, 비밀결사, 파벌"
cackle,"(닭, 오리)꼬꼬댁 울다; 낄낄대며 웃다, 목소리 찢어지게 웃다"
cacophony,불협화음
cagey,신중한
cajole,감언으로 꼬셔서~하게 하다
calamitous,"재앙의, 불행한, 비참한"
calcify,"석회화하다, 굳어지다"
calibrate,"눈금을 매기다, 눈금을 정확히 조정하다"
callous,"냉담한, 무감각한"
callow,"미성숙한, 경험이 없는"
calumny,"중상, 비방"
camaraderie,"우정, 동지애"
cameo,(유명배우)우정출연; (보석) 카메오조각(양각)
camouflage,"위장, 속임"
canard,"헛 소문, 지어낸 이야기"
candid,솔직한
cane,"사탕수수 나무줄기, 지팡이, 회초리"
canonical,"권위로 인정된, 정통의"
canonize,"권위 있는 것으로 인정하다, 찬양하다"
canopy,차양
capitulate,"복종하다, 항복하다"
capricious,변덕스러운
captious,"트집잡는, 반대하는"
captivate,매료시키다
captor,"포획자, 획득자"
carefree,"걱정근심 없는, 속편한"
caretaker,임시로 직무를 맡은 (사람)
careworn,걱정(고생)으로 초췌한
carnal,육체적인
carouse,흥청대며 마시다
carpentry,목수일
cartographer,지도제작자
cascade,"폭포처럼 떨어지다, 작은 폭포"
cast,출연배우들
castigate,"심하게 꾸짖다, 비난하다, 징계하다"
catalyze,"촉매작용하다, 촉진시키다"
categorical,절대적인
catholic,"(취향이)폭넓은, 보편적인"
caustic,신랄한
cavalier,"건방진, 거만한"
cavil,트집잡다
cavort,"흥청거리며 탐닉하다, 뛰어다니다"
cede,"포기하다, 양도하다, 할양하다"
celebrity,"유명세, 유명인"
celerity,신속함
cement,"시멘트로 결합시키다, 접합시키다"
censure,비난하다
central,"중심의, 중요한, 필수의"
cessation,"끝, 중지"
chagrin,"원통함, 분함"
champion,"옹호하다, 지지하다"
chaperone,사교계에 나오는 미혼 여성을 따라다니며 돌봐주는 부인
charade,"뻔한 거짓, 제스처게임"
charismatic,카리스마 있는
charitable,"자선을 베푸는, 관대한"
charlatan,"허풍선이, 돌팔이, 사기꾼"
chary,조심하는; (금전관련) 신중한
chasten,"훈육하다, (마음을)정화시키다, 겸손하게 하다, 억제하다"
chateau,(프랑스)성
chauvinism,"맹목적인 애국심, 충성심"
cheeky,"(사람, 언행) 건방진, 뻔뻔한"
chicanery,속임수
chide,꾸짖다
chimera,"가공의 괴물, 가상"
chip,"깨진 (돌, 나무)조각"
choir,합창단
choleric,"담즙질의, 화를 잘 내는"
chord,"코드, 화음"
choreographer,안무가
chuckle,"킬킬 웃다, 소리 없이 웃다"
churl,"무례한 사람, 구두쇠"
cipher,암호문
circuity,"우회, 돌아가기"
circumlocution,"에둘러대기, 완곡어법, 다변"
circumscribe,제한하다
circumspect,"신중한, 주의 깊은, 깊이 생각하는, 용의주도한"
circumvent,피하다
cistern,물탱크
clairvoyant,"천리안이 있는, 통찰력이 있는"
clandestine,"비밀의, 은밀한"
clarion,(소리가) 크고 명료한
clause,문장의 절
clemency,"자비, 관대함"
clich?,진부한 표현
clinch,"(못, 나사)고정시키다, 결말을 내다, 성사시키다"
clog,"(움직임, 흐름)막다, (활동) 방해하다"
clout,"영향력, 힘"
coagulant,(혈액 등) 응고제
coalesce,"합쳐지다, 하나가 되다"
coddle,"관대하게 하다, 너그럽게 대하다"
cogent,설득력 있는
cognizant,"인식한, 알고 있는"
coherent,"일관성 있는, 논리적인"
collapse,"붕괴하다, 붕괴시키다"
colleague,동료
collude,"결탁, 공모하다"
commensurate,"동등한, 같은 크기의, 균형 잡힌, 비례된"
commodious,"넓은, 널찍한"
commonplace,"진부한, 진부한 문구"
compendious,"요점을 잘 잡은, 간결한"
competence,"능력, 재능"
complacence,자기만족
complaisant,"기쁘게 해주려하는, 친절한, 정중한"
complement,"보완하다, 보충"
comprehend,이해하다
compromise,"(명예,신용) 위태롭게 하다, 훼손하다"
compunction,양심의 가책
concerted,협동/협의에 의한
concession,"시인, 양보"
conciliate,"화해시키다, 중재하다, 조화시키다, 일치하다"
concord,"일치, 조화, 화합"
concur,"동의하다, 동시에 발생하다"
condensed,요약된
condescend,"생색내다, 오만하게 행동하다"
condolence,"위로, 조의"
conducive,"공헌하는, 도움이 되는"
confident,확신하는
confine,"제한하다, 가두다"
confluence,"합류, 집합, 모임"
conform,"(규칙, 관습) 따르다, 순응하다, 지키다"
confound,"혼돈하다, 당황케 하다"
congeal,"응결시키다, 경직시키다"
congenial,"마음이 맞는, 같은 성질의, 상냥한"
congenital,선천성의
congregate,모이다
congruence,"적합, 일치, 합동"
connive,공모하다
connoisseur,"미술품 전문가, 권위자"
consensus,"합의, 동의"
console,위로하다
consolidate,굳건하게 하다
consonance,"일치, 조화, 화음"
conspire,공모하다
constellation,"성단, 별자리"
consuming,(느낌) 절실히 느껴지는
consummate,"(기술,실력) 완전한, 완벽한"
contempt,"경멸, 멸시"
contention,다툼 논쟁
continuum,연속(체)
contort,"(몸이)휘다, 비틀어지다"
contravene,위반하다 모순되다 반박하다
contretemps,뜻밖의 불운한 사건
contrite,뉘우치는
contrived,"계획된, 의도된"
controvert,"부인하다, 반박하다"
contumacious,고집 센
conundrum,"난제, 수수께끼"
convene,소집하다
conventional,"틀에박힌, 진부한, 평범한; 전통적인"
convergence,"합침, 집함, 집중"
conversant,정통한
convert,"변형시키다, 바꾸다, 개종시키다"
convivial,"연회를 좋아하는, 명랑한,"
convoke,소집하다
convoluted,"복잡한, 난해한"
coolheaded,"냉정한, 침착한"
copious,"풍부한, 많은"
cornucopia,풍부함(의 상징)
coronation,대관식
corporeal,"육체적인, 물질적인"
corpulent,"살찐, 뚱뚱한"
corrective,"교정하는, 올바르게 하는"
correspond,부합하다. 상응하다.
corroborate,"증명하다, 확증하다"
coruscate,반짝반짝 빛나다
cosset,응석을 받아주다
coterie,배타적인 집단
countenance,"찬성하다, 지지하다"
countless,무수히 많은
court,"호의를 얻으려 하다, 구애하다"
covetous,"탐내는, 갈망하는"
cow,위협하다
cower,두려워 움츠리다
coy,부끄러운척하는
cramped,"답답한, 비좁고 갑갑한"
craven,"비겁한, 비겁한 사람"
craving,"갈망, 열망"
credence,"신용, 신임"
credible,믿을만한
credulous,잘 믿는 잘 속는
creek,"시내, 지류"
creep,살금살금 걷다
crest,닭볏:(산 파도 등의) 최정상
crestfallen,풀 죽은
croon,낮은 목소리로 부드럽게 노래하다
crotchety,"화잘내는, 까다로운"
crouch,웅크리다
crumb,빵 부스러기
crumble,"부숴지다, 가루가 되다"
crump,오독오독 씹다
crust,빵 껍질
crutch,목발
crux,가장 중요한 점
culpable,"과실이 있는, 비난 받을만한"
cultivate,재배하다.
cunning,"교활한, 교묘한"
curb,억제하다
curmudgeon,심술궂은 사람
curt,(말)퉁명스런
curtail,"단축하다, 줄이다;(비용) 절감하다"
dab,가볍게 살짝 바르다
dabbler,취미로 하는 사람
daft,"어리석은, 미친"
dally,"시간 낭비하다;가지고 놀다, 희롱하다"
damn,비난하다
dampen,"약화시키다, 찬물을 끼얹다"
dandy,지나치게 멋 부리는 남자
dank,(불쾌하게)축축한
dapper,말끔한
dart,돌진하다
dash,"돌진하다: 활기, 원기"
dated,"구식의, 오래된"
daunt,위협하다
dauntless,겁 없는
dawdler,게으름뱅이
deadpan,무표정한
debark,(비행기나 선박에서)내리다
debase,"(질, 가치) 저하시키다."
debauchery,"방탕, 환락생활"
debilitate,쇠약하게 만들다
debunk,(허구임을) 드러내다
debut,"(경력의)처음시작,"
decant,(포도주 등) 조심스럽게/가만히 따르다
deceleration,감속
decorum,"단정함, 예의 바름"
decrepit,나이 들어 쇠약해진
decry,공개적으로 비난하다
defame,명예를 훼손하다
defeasible,무효화할 수 있는
deferential,공손한
deferrable,미룰 수 있는
deficiency,부족; 결점
define,"분명하게 묘사하다, 정의를 내리다"
definitive,명확한; 최종적인; 결론적인; 권위 있고 완전한
deflate,수축시키다; 풀 죽게 하다
defray,(비용 등을) 부담하다
deft,"솜씨 좋은, 민첩한"
defuse,뇌관을 제거하다; (긴장 등을) 완화시키다
defy,"(공공연하게) 저항/도전하다, 불복종하다"
dehydrate,"건조시키다, 탈수시키다"
deification,"신성화, 신격화"
deject,낙담시키다
delectable,맛있는
delegate,위임하다; (회의) 대표로 파견하다
deleterious,해로운
deliberation,"심사숙고, 합의, 토의"
delineate,정확하게 묘사하다
delude,속이다
demography,"인구학, 인구구성"
demolish,파괴하다
demoralize,사기를 꺾다
demote,강등시키다
demur,반대하다
demure,"얌전한, 조신한"
demurrable,이의를 주장할 수 있는
demystify,명확하게 설명하다
denounce,공공연히 비난하다; (조약) 폐기를 선언하다
denseness,조밀함
denture,의치(한 벌)
denude,벌거벗기다
denunciate,공공연히 비난하다
deplete,고갈시키다
deplore,비난하다; 개탄하다
deprecate,비난하다; 반대하다
depreciate,평가절하하다; (가치) 떨어뜨리다
deracinate,뿌리째 뽑아버리다; 근절하다
derelict,"태만한, 나태한; (건물) 방치된, 버려진"
derogate,"비하하다, 격하시키다"
desecrate,신성을 모독하다
desiccate,건조시키다
desist,멈추다; 삼가다
